Visitor/Neutral,Home/Neutral,Home/Away Wins
Houston Rockets,Brooklyn Nets,H
Cleveland Cavaliers,Indiana Pacers,H
Milwaukee Bucks,Orlando Magic,A
New York Knicks,Boston Celtics,H
Detroit Pistons,Chicago Bulls,H
Los Angeles Lakers,Dallas Mavericks,A
Utah Jazz,Sacramento Kings,H
San Antonio Spurs,Golden State Warriors,A
New Orleans Pelicans,Oklahoma City Thunder,H
Brooklyn Nets,Detroit Pistons,H
Denver Nuggets,Orlando Magic,A
Phoenix Suns,Memphis Grizzlies,A
Toronto Raptors,Milwaukee Bucks,H
Minnesota Timberwolves,Washington Wizards,A
Charlotte Hornets,Golden State Warriors,A
Philadelphia 76ers,Portland Trail Blazers,A
Chicago Bulls,Indiana Pacers,H
Houston Rockets,Miami Heat,H
Sacramento Kings,New York Knicks,A
Los Angeles Lakers,San Antonio Spurs,A
Dallas Mavericks,Cleveland Cavaliers,A
Utah Jazz,Los Angeles Clippers,H
Detroit Pistons,Washington Wizards,H
New Orleans Pelicans,Brooklyn Nets,H
Houston Rockets,Memphis Grizzlies,A
Milwaukee Bucks,Minnesota Timberwolves,A
Philadelphia 76ers,Phoenix Suns,H
Portland Trail Blazers,Golden State Warriors,H
Indiana Pacers,Charlotte Hornets,H
Boston Celtics,Cleveland Cavaliers,A
San Antonio Spurs,Atlanta Hawks,H
Los Angeles Lakers,Chicago Bulls,A
Orlando Magic,Oklahoma City Thunder,H
Miami Heat,Denver Nuggets,H
New York Knicks,Detroit Pistons,H
Washington Wizards,Indiana Pacers,H
Chicago Bulls,Atlanta Hawks,A
Golden State Warriors,Houston Rockets,H
Sacramento Kings,Toronto Raptors,H
Minnesota Timberwolves,Memphis Grizzlies,H
Orlando Magic,Dallas Mavericks,H
Philadelphia 76ers,Utah Jazz,H
Milwaukee Bucks,Los Angeles Clippers,A
Boston Celtics,Charlotte Hornets,A
Oklahoma City Thunder,San Antonio Spurs,H
Miami Heat,Phoenix Suns,A
Portland Trail Blazers,Los Angeles Clippers,H
Detroit Pistons,Indiana Pacers,H
Memphis Grizzlies,Orlando Magic,H
Cleveland Cavaliers,Washington Wizards,A
Sacramento Kings,Atlanta Hawks,A
Golden State Warriors,Minnesota Timberwolves,H
Toronto Raptors,New Orleans Pelicans,A
New York Knicks,Dallas Mavericks,A
Philadelphia 76ers,Denver Nuggets,H
Milwaukee Bucks,Utah Jazz,H
Brooklyn Nets,Portland Trail Blazers,A
Miami Heat,Los Angeles Lakers,H
Boston Celtics,San Antonio Spurs,A
New Orleans Pelicans,Charlotte Hornets,A
Houston Rockets,Chicago Bulls,A
Dallas Mavericks,Memphis Grizzlies,A
Golden State Warriors,Oklahoma City Thunder,H
Denver Nuggets,Minnesota Timberwolves,A
Indiana Pacers,Orlando Magic,A
Charlotte Hornets,Philadelphia 76ers,H
Milwaukee Bucks,Oklahoma City Thunder,A
Cleveland Cavaliers,New York Knicks,A
Brooklyn Nets,Phoenix Suns,H
Atlanta Hawks,Portland Trail Blazers,H
Toronto Raptors,Los Angeles Lakers,A
Minnesota Timberwolves,Detroit Pistons,A
Dallas Mavericks,Boston Celtics,H
Memphis Grizzlies,San Antonio Spurs,A
Houston Rockets,New Orleans Pelicans,A
Utah Jazz,Golden State Warriors,A
Toronto Raptors,Los Angeles Clippers,H
Oklahoma City Thunder,Indiana Pacers,H
Cleveland Cavaliers,Philadelphia 76ers,H
Detroit Pistons,Miami Heat,H
New York Knicks,Chicago Bulls,H
Atlanta Hawks,Denver Nuggets,A
Los Angeles Lakers,Phoenix Suns,A
Brooklyn Nets,Utah Jazz,H
Portland Trail Blazers,Sacramento Kings,H
Memphis Grizzlies,Charlotte Hornets,A
Philadelphia 76ers,Orlando Magic,H
Washington Wizards,Boston Celtics,H
Los Angeles Clippers,Houston Rockets,H
San Antonio Spurs,Minnesota Timberwolves,H
Golden State Warriors,Los Angeles Lakers,H
Toronto Raptors,Portland Trail Blazers,A
Miami Heat,Cleveland Cavaliers,A
Chicago Bulls,Milwaukee Bucks,H
