Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG Opp,FGA Opp,FG% Opp,3P Opp,3PA Opp,3P% Opp,2P Opp,2PA Opp,2P% Opp,FT Opp,FTA Opp,FT% Opp,ORB Opp,DRB Opp,TRB Opp,AST Opp,STL Opp,BLK Opp,TOV Opp,PF Opp,PTS Opp
Sacramento Kings,43.1,87.3,.494,13.6,36.9,.369,29.5,50.3,.586,19.6,24.8,.790,9.4,32.6,42.0,27.0,6.9,3.3,13.3,19.5,119.4,43.3,87.9,.492,12.3,33.1,.373,31.0,54.9,.564,17.9,22.7,.787,9.6,32.2,41.7,26.4,7.2,4.1,14.1,20.6,116.8
Boston Celtics,42.2,88.8,.475,16.0,42.6,.377,26.2,46.2,.567,17.5,21.6,.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,118.0,41.8,90.2,.463,11.6,33.7,.345,30.1,56.5,.534,16.2,21.1,.769,9.7,34.3,44.0,23.1,6.6,3.9,12.7,19.1,111.5
New York Knicks,42.6,90.7,.470,12.8,36.3,.354,29.8,54.5,.547,19.7,25.8,.761,12.8,34.6,47.3,23.3,6.5,4.2,13.2,20.6,117.8,41.4,89.5,.462,13.2,37.1,.357,28.2,52.5,.537,18.8,24.1,.782,10.3,32.4,42.7,25.5,6.1,4.6,12.9,21.0,114.8
Philadelphia 76ers,41.7,85.6,.487,12.9,33.3,.387,28.8,52.3,.551,21.4,25.6,.835,8.9,32.9,41.8,25.7,7.9,4.8,14.0,20.9,117.7,41.3,87.3,.473,11.9,34.1,.348,29.4,53.2,.553,18.9,24.2,.781,9.7,32.3,42.1,24.7,6.7,4.7,14.6,20.0,113.3
Denver Nuggets,44.2,87.8,.504,12.0,31.7,.379,32.3,56.1,.575,17.1,22.7,.751,10.3,33.4,43.7,29.3,7.7,4.6,14.8,18.9,117.6,42.4,88.7,.478,11.6,33.6,.344,30.8,55.2,.559,17.9,23.0,.775,10.3,31.1,41.5,26.1,8.0,4.3,13.7,19.8,114.2
Dallas Mavericks,40.9,86.2,.475,15.5,41.9,.371,25.4,44.2,.574,19.4,25.7,.755,7.8,31.9,39.7,23.4,6.4,3.8,12.5,21.2,116.8,42.7,88.1,.485,11.4,32.4,.352,31.3,55.7,.562,19.9,25.5,.781,10.4,35.4,45.7,25.5,6.5,3.9,13.4,22.3,116.7
Atlanta Hawks,43.9,90.9,.483,10.6,30.1,.352,33.3,60.9,.548,18.2,22.2,.818,11.0,32.6,43.7,24.6,7.0,4.8,12.7,18.5,116.6,43.1,88.8,.486,11.8,33.0,.356,31.4,55.8,.562,18.3,22.8,.803,10.4,33.0,43.4,25.6,7.4,5.0,13.9,19.4,116.3
Cleveland Cavaliers,43.0,88.1,.488,12.0,32.7,.367,31.0,55.4,.559,18.2,23.3,.780,10.0,32.5,42.5,25.8,7.4,4.8,13.8,19.7,116.1,40.4,86.4,.468,11.7,31.6,.368,28.7,54.7,.525,18.1,23.2,.782,10.1,32.5,42.7,23.8,7.3,4.5,16.2,21.1,110.6
Golden State Warriors,42.1,88.0,.479,16.2,42.2,.385,25.9,45.9,.564,15.6,19.7,.794,10.3,33.3,43.6,29.1,7.0,3.8,15.9,20.9,116.1,41.4,88.4,.469,12.6,34.7,.364,28.8,53.7,.536,18.9,24.6,.769,10.5,31.8,42.3,25.1,7.7,3.9,14.0,18.0,114.4
Utah Jazz,42.0,88.8,.473,13.2,37.4,.353,28.8,51.4,.560,18.5,23.6,.786,11.7,33.7,45.4,25.7,6.0,5.2,15.2,20.2,115.8,42.9,90.6,.473,12.3,34.1,.361,30.5,56.5,.540,18.6,24.0,.776,11.1,31.9,43.0,24.7,7.7,4.9,12.4,20.2,116.7
